...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
15468,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-76,Elections |Fact Checks of the 2016 Election,He's no Trump; but he bites; too.,en,The New York Times,nytimes.com,2016-01-29T00:00:00Z,Ted Cruz said he has not personally attacked Donald J. Trump.,Ted Cruz,2016-01-29T00:00:00Z,Republican
15529,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-82,Elections |Fact Checks of the 2016 Election,The data backs him up.,en,The New York Times,nytimes.com,2016-01-29T00:00:00Z,Chris Christie said New Jersey’s job growth in 2015 was the best in the past 15 years.,Chris Christie,2016-01-29T00:00:00Z,Republican
15061,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-84,Elections |Fact Checks of the 2016 Election,No data to back it up.,en,The New York Times,nytimes.com,2016-01-31T00:00:00Z,Millions of Americans have lost their jobs' because of President Obama’s health care law.,Ted Cruz,2016-01-31T00:00:00Z,Republican
15393,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-85,Elections |Fact Checks of the 2016 Election,Some do; some don't.,en,The New York Times,nytimes.com,2016-02-05T00:00:00Z,Mrs. Clinton says that experts agree that her Wall Street reforms are the toughest.,Hillary Clinton,2016-02-05T00:00:00Z,Democratic
15222,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-89,Elections |Fact Checks of the 2016 Election,Well; that's three times three.,en,The New York Times,nytimes.com,2016-02-06T00:00:00Z,Mr. Rubio said New Jersey's credit rating had been downgraded nine times during Gov. Chris Christie's tenure.,Marco Rubio,2016-02-06T00:00:00Z,Republican
15076,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-96,Elections |Fact Checks of the 2016 Election,Not by her account.,en,The New York Times,nytimes.com,2016-02-07T00:00:00Z,Mr. Christie said a nurse quarantined during the Ebola outbreak had symptoms.,Chris Christie,2016-02-07T00:00:00Z,Republican
15131,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-93,Elections |Fact Checks of the 2016 Election,He tried and failed.,en,The New York Times,nytimes.com,2016-02-07T00:00:00Z,Mr. Trump tried to use eminent domain to take an older woman's home.,Jeb Bush,2016-02-07T00:00:00Z,Republican
15248,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-92,Elections |Fact Checks of the 2016 Election,Actually the opposite.,en,The New York Times,nytimes.com,2016-02-07T00:00:00Z,Mr. Christie said President Obama was in favor of paying ransom for hostages.,Chris Christie,2016-02-07T00:00:00Z,Republican
15273,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-90,Elections |Fact Checks of the 2016 Election,He wasn't there for the close.,en,The New York Times,nytimes.com,2016-02-07T00:00:00Z,Mr. Christie said Marco Rubio did not vote for his own Hezbollah sanctions act.,Chris Christie,2016-02-07T00:00:00Z,Republican
15464,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-91,Elections |Fact Checks of the 2016 Election,Don't blame CNN.,en,The New York Times,nytimes.com,2016-02-07T00:00:00Z,Mr. Cruz said his campaign mistakenly spread the word that Ben Carson was quitting the race because of a CNN report.,Ted Cruz,2016-02-07T00:00:00Z,Republican
15288,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-97,Elections |Fact Checks of the 2016 Election,Only in the short term.,en,The New York Times,nytimes.com,2016-02-08T00:00:00Z,Marco Rubio has gone on Univision and said in Spanish; ‘No; no; no; I wouldn’t rescind amnesty.’',Ted Cruz,2016-02-08T00:00:00Z,Republican
15415,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-101,Elections |Fact Checks of the 2016 Election,Most authorities call it torture.,en,The New York Times,nytimes.com,2016-02-12T00:00:00Z,Waterboarding 'does not meet the generally recognized definition of torture.',Ted Cruz,2016-02-12T00:00:00Z,Republican
15418,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-100,Elections |Fact Checks of the 2016 Election,He voted 'yea',en,The New York Times,nytimes.com,2016-02-12T00:00:00Z,Mrs. Clinton said Mr. Sanders voted in 1998 for a resolution favoring regime change in Iraq.,Hillary Clinton,2016-02-12T00:00:00Z,Democratic
15453,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-99,Elections |Fact Checks of the 2016 Election,Not quite so simple,en,The New York Times,nytimes.com,2016-02-12T00:00:00Z,Mr. Sanders suggested that Mrs. Clinton was not welcoming to child immigrants from Central America.,Bernie Sanders,2016-02-12T00:00:00Z,Democratic
15364,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-102,Elections |Fact Checks of the 2016 Election,Some of them do.,en,The New York Times,nytimes.com,2016-02-13T00:00:00Z,Mr. Sanders said that none of the Republican presidential candidates believe that climate change is real.,Bernie Sanders,2016-02-13T00:00:00Z,Democratic
15306,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-108,Elections |Fact Checks of the 2016 Election,He spreads money around.,en,The New York Times,nytimes.com,2016-02-14T00:00:00Z,Mr. Cruz says Donald J. Trump has contributed to John Kerry; Hillary Clinton; Chuck Schumer and Harry Reid.,Ted Cruz,2016-02-14T00:00:00Z,Republican
15432,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-104,Elections |Fact Checks of the 2016 Election,There's a reason.,en,The New York Times,nytimes.com,2016-02-14T00:00:00Z,Mr. Cruz says President Obama refuses to arm the pesh merga; the Kurdish fighters in Iraq.,Ted Cruz,2016-02-14T00:00:00Z,Republican
15111,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-118,Elections |Fact Checks of the 2016 Election,Republican justices do drift left.,en,The New York Times,nytimes.com,2016-02-26T00:00:00Z,Democratic-appointed Supreme Court justices always stay Democratic; not so for Republicans.,Ted Cruz,2016-02-26T00:00:00Z,Republican
